iso3,year,month,pop,ACLED_conflict_related_deaths,ACLED_protests,ACLED_strategic_developments,ACLED_violence_against_civilians,ACLED_battles,ACLED_explosions_remote_violence,ACLED_riots,ACLED_events,ACLED_protests_peaceful_protest,ACLED_strategic_developments_change_to_group_activity,ACLED_strategic_developments_arrests,ACLED_protests_protest_with_intervention,ACLED_violence_against_civilians_attack,ACLED_battles_armed_clash,ACLED_battles_government_regains_territory,ACLED_battles_non_state_actor_overtakes_territory,ACLED_explosions_remote_violence_air_drone_strike,ACLED_explosions_remote_violence_remote_explosive_landmine_ied,ACLED_explosions_remote_violence_shelling_artillery_missile_attack,ACLED_explosions_remote_violence_suicide_bomb,ACLED_riots_mob_violence,ACLED_strategic_developments_disrupted_weapons_use,ACLED_strategic_developments_looting_property_destruction,ACLED_strategic_developments_non_violent_transfer_of_territory,ACLED_violence_against_civilians_abduction_forced_disappearance,ACLED_violence_against_civilians_sexual_violence,ACLED_riots_violent_demonstration,ACLED_strategic_developments_agreement,ACLED_strategic_developments_headquarters_or_base_established,ACLED_protests_excessive_force_against_protesters,ACLED_strategic_developments_other,ACLED_explosions_remote_violence_grenade,ACLED_explosions_remote_violence_chemical_weapon,ACLED_Gang_Events,yearmon,region_code,ACLED_conflict_related_deaths_change,ACLED_events_change,ACLED_BRD_per_100k
RWA,1997,1,7755238,146,0,0,9,3,1,0,21,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Jan 1997,SSA,NA,NA,1.8825985740218418
DZA,1997,1,29579301,465,0,0,23,8,11,0,42,0,0,0,0,23,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,MNA,NA,NA,1.572045262327193
UGA,1997,1,21856046,16,0,0,1,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jan 1997,SSA,NA,NA,0.07320628809071869
CAF,1997,1,3531700,14,0,0,1,6,0,0,7,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,SSA,NA,NA,0.3964096610697398
AGO,1997,1,14660413,40,0,1,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,SSA,NA,NA,0.2728436095217781
LBY,1997,1,5064639,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,MNA,NA,NA,0.1579579511984961
EGY,1997,1,68431740,6,0,0,2,3,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,MNA,NA,NA,0.008767861229306752
SDN,1997,1,25799821,1860,7,1,6,38,2,1,52,4,0,0,2,5,22,2,14,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,Jan 1997,SSA,NA,NA,7.209352343956185
BDI,1997,1,6070042,796,0,2,8,9,0,0,19,0,0,0,0,8,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,SSA,NA,NA,13.113583069112206
ZAF,1997,1,45666838,4,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jan 1997,SSA,NA,NA,0.008759091225015404
COG,1997,1,2887862,12,1,0,0,2,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan 1997,SSA,NA,NA,0.4155323211427693
