iso3,year,month,UCDP_BRD,UCDP_BRD_per_100k,UCDP_BRD_change,UCDP_BRD_state_based,UCDP_BRD_non_state,UCDP_BRD_one_sided,BRD_lag
ABW,1989,1,0,0,0,0,0,0,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,2,0,0,0,0,0,0,"0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,3,0,0,0,0,0,0,"0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,4,0,0,0,0,0,0,"0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,5,0,0,0,0,0,0,"0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,6,0,0,0,0,0,0,"0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA"
ABW,1989,7,0,0,0,0,0,0,"0,0,0,0,0,0,NA,NA,NA,NA,NA,NA"
ABW,1989,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,NA,NA,NA,NA,NA"
ABW,1989,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,NA,NA,NA,NA"
ABW,1989,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,NA,NA,NA"
ABW,1989,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,NA,NA"
ABW,1989,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,NA"
ABW,1990,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1990,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1991,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1992,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1993,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1994,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1995,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1996,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1997,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,5,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,6,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,7,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,8,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,9,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,10,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,11,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1998,12,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1999,1,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1999,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
ABW,1999,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0"
